Requirements Catalog Spitex Cockpit
"Wondercode GmbH — Spitex Kaufmann AG",,,,,,
"As of: June 10 2026 | Phase 1: Go-Live Sep 30 2026 | Phase 2: Go-Live Jan 4 2027",,,,,,
"Note: Specific data fields per object will be jointly specified during the refinement period (14 days from signing).",,,,,,
,,,,,,
ID,Phase,Requirement,Description,Status,Acceptance,Remarks
FR-ONB-09,1,Consent Form as Shared Document,"The data privacy consent form can be signed in two ways: digitally in the contract step or as a scan upload in the documents tab. Both paths update the same status — single source of truth.",Committed,,

,,,,,,
=== 5. ONBOARDING — Completion & Conversion ===,,,,,,
,,,,,,
FR-ONB-18,1,Complete Onboarding and Create Records,"After successful completion of onboarding, a patient record and a caregiver record are automatically created. All captured data and documents are transferred.",Committed,,
FR-ONB-19,1,Completion Lock with Documented Override,"Missing mandatory documents do not absolutely block completion. A dialog lists missing documents by name and requires a written justification. The justification is documented on the case. The employment contract remains a hard lock (no override possible).",Committed,,

,,,,,,
=== 6. ONBOARDING — Medical Diagnoses ===,,,,,,
,,,,,,
FR-ONB-13,1,Capture Medical Diagnoses,"Medical diagnoses (ICD codes) can be manually entered with code, description and source. They are a standalone record on the case and serve as the medical basis for care planning and KLV justification.",Committed,,

,,,,,,
=== 7. PATIENTS ===,,,,,,
,,,,,,
FR-PAT-01,1,Patient List,"All patients in a filterable table. Views: All, Mine, Attention. Per row: name, severity, status, assigned nurse, next task. With search and sorting.",Committed,,
FR-PAT-02,1,Patient Detail Page,"360-degree profile with tabs: Overview, Medical History, Care Planning, KLV, Documents, Workflow, Activities.",Committed,,
FR-PAT-08,1,Edit Patient Master Data,"Master data (personal details, contact, insurance, physician) can be edited directly in the patient detail page — not only during onboarding.",Committed,,Fields to be specified during refinement period
FR-PAT-03,1,Change Patient Status,"Status (Active, Paused, Ended) can be changed via a dialog with confirmation.",Committed,,
FR-PAT-05,1,Mask Sensitive Data,"AHV number, IBAN and other sensitive numbers are hidden by default. Reveal only through deliberate click.",Committed,,
FR-PAT-06,1,View and Upload Documents,"Documents tab with folder structure (8 categories). Per document: upload (file or camera scan), preview, delete. Documents are stored in SharePoint.",Committed,,
FR-PAT-07,1,Link to Caregivers,"The relationship between patients and caregivers is displayed and can be edited (one patient can have multiple caregivers and vice versa). Direct navigation between linked records.",Committed,,
FR-PAT-09,1,Create Ticket from Patient Detail,"A service desk ticket can be created directly from the patient detail page, automatically linked to the patient.",Committed,,

,,,,,,
=== 8. CAREGIVERS ===,,,,,,
,,,,,,
FR-ANG-01,1,Caregiver List,"All caregivers in a filterable table. Views: All, Mine, Attention, SRC open, In Onboarding. Per row: name, HR status, SRC progress, stamp warnings.",Committed,,
FR-ANG-02,1,Caregiver Detail Page,"360-degree profile with tabs: Overview, Personal/HR, Family/Tax, Bank Details, Documents, Monthly Steps.",Committed,,
FR-ANG-08,1,Edit Caregiver Master Data,"Master data (personal details, HR data, withholding tax, family, bank details) can be edited directly in the caregiver detail page.",Committed,,Fields to be specified during refinement period
FR-ANG-03,1,HR Check Display,"Automatic check of SRC course status, withholding tax registration and residence permit document. Result as colored indicator: green (done), yellow (pending), red (overdue).",Committed,,
FR-ANG-04,1,SRC Stamp Warning,"Warning when the SRC care course is not completed within one year of contract signing. Shows remaining time and affected patients.",Committed,,
FR-ANG-06,1,Mask Sensitive Data,"AHV number, ZEMIS number and IBAN are displayed masked. Reveal only through deliberate click.",Committed,,
FR-ANG-07,1,Upload Documents to SharePoint,"Documents can be uploaded directly from the caregiver detail page to the associated SharePoint folder (scan or file).",Committed,,
FR-ANG-09,1,Create Ticket from Caregiver Detail,"A service desk ticket can be created directly from the caregiver detail page, automatically linked to the caregiver.",Committed,,

,,,,,,
=== 9. TASKS & TICKETS ===,,,,,,
,,,,,,
FR-PEN-01,1,Tasks Overview,"Workflow tasks (automatically generated) and service tickets (manually created) are displayed in a combined overview.",Committed,,
FR-PEN-02,1,Urgency Grouping,"Tasks are grouped by due date: Overdue, Today, This Week, Later. With counter per group.",Committed,,
FR-PEN-07,1,Create and Edit Tickets,"Service desk tickets can be manually created with title, description, type, priority and assignment. Existing tickets can be edited: change status, add comments, reassign.",Committed,,
FR-PEN-08,1,Automatic Tickets from Workflows,"Workflow steps automatically create tasks when due (e.g. SRC registration due creates a task for the responsible person).",Committed,,

,,,,,,
=== 10. WORKFLOWS ===,,,,,,
,,,,,,
FR-SON-11,1,Workflow Checklist,"Workflow steps can be checked off, assigned to a person and given a due date. The checklist is available in onboarding, patient detail and caregiver detail.",Committed,,

,,,,,,
=== 11. DOCUMENTS & SHAREPOINT ===,,,,,,
,,,,,,
FR-DMS-01,1,SharePoint Integration,"Connection to SharePoint for persistent document storage. A folder structure (8 categories) is automatically created per patient and caregiver.",Committed,,
FR-DMS-02,1,Document Scan with PDF Conversion,"Documents can be scanned via the device camera. The scan is automatically converted to PDF and stored in the associated SharePoint folder.",Committed,,

,,,,,,
=== 12. SEARCH & NAVIGATION ===,,,,,,
,,,,,,
FR-SON-03,1,Global Search,"Search field in the header bar with instant results. Searches across patients, caregivers and tasks.",Committed,,
FR-SON-10,1,Detail Page Navigation,"Detail pages offer a back button and previous/next navigation for browsing through lists.",Committed,,

,,,,,,
=== 13. USER MANAGEMENT & SECURITY ===,,,,,,
,,,,,,
FR-SON-12,1,User Management,"Users can be created, edited and deactivated. Three roles: Registered Nurse, Back Office, Management. Roles are assigned per user.",Committed,,
NFR-SEC-01,1,Authentication and Session Management,"Production login with secure passwords, automatic logout after inactivity and brute-force protection.",Committed,,
NFR-SEC-02,1,Role-Based Access Control,"Every area of the application is only accessible to authorized roles. Verification is server-side, not just in the display.",Committed,,
NFR-SEC-03,1,Audit Log,"All access to sensitive data (e.g. revealing AHV number, changing status, opening document) is logged with timestamp, user and action.",Committed,,
NFR-SEC-04,1,Data Encryption,"Sensitive data (AHV, ZEMIS, IBAN, medical information) is stored and transmitted encrypted.",Committed,,

,,,,,,
=== 14. TECHNICAL FOUNDATIONS ===,,,,,,
,,,,,,
NFR-DB-01,1,Database,"Production database with data migration mechanism. All data is preserved after restart or update.",Committed,,
NFR-DB-02,1,Multi-User Capability,"Multiple people can work with the application simultaneously without data loss or overwriting each other.",Committed,,
NFR-SON-03,1,Role-Based Visibility,"Three user roles with adapted visibility: nurse sees client focus, back office sees HR and billing data, management sees metrics and compliance.",Committed,,

,,,,,,
"==============================",,,,,,
"=== PHASE 2 — Go-Live Jan 4 2027 ===",,,,,,
"==============================",,,,,,
,,,,,,

,,,,,,
=== 15. INTERRAI ASSESSMENT ===,,,,,,
,,,,,,
FR-INT-01,2,InterRAI Overview List,"All InterRAI assessments in a filterable list: All, In Progress, Completed, Re-Assessment Due.",Committed,,
FR-INT-02,2,InterRAI Workspace,"Workspace for capturing InterRAI items with navigation, collapsible sections and automatic prioritization (uncertain items are highlighted).",Committed,,
FR-INT-03,2,InterRAI HC Switzerland Item Catalog,"Approx. 225 official InterRAI HC Switzerland items in sections A through S with all answer options.",Committed,,
FR-INT-04,2,View Completed Assessments,"Completed assessments show all captured items, CAP results and outcome scales in a protected view.",Committed,,
FR-INT-05,2,Assessment Evaluation,"Outcome scales (ADL, IADL, CPS etc.) with bar charts, triggered CAPs with priority, section overview.",Committed,,

,,,,,,
=== 16. CARE PLANNING ===,,,,,,
,,,,,,
FR-INT-06,2,Care Planning Editor,"Capture and editing of nursing diagnoses (NANDA codes), interventions and goals. Diagnoses with rationale and linked interventions/goals.",Committed,,
FR-INT-07,2,NANDA/ENP Catalog,"Selection from 12 NANDA diagnoses with suggested interventions and goals. Suggestions are automatically offered when adding.",Committed,,
FR-ONB-14,2,Medical and Nursing Diagnoses Displayed Separately,"Medical diagnoses (ICD) appear as compact reference lines, nursing diagnoses (NANDA) as detailed cards with interventions and goals.",Committed,,
FR-ONB-15,2,Justification Chain ICD → NANDA → KLV,"Nursing diagnoses reference medical diagnoses, KLV services reference nursing diagnoses. Complete justification chain for the insurance company.",Committed,,

,,,,,,
=== 17. KLV PRESCRIPTION ===,,,,,,
,,,,,,
FR-INT-08,2,KLV Workspace with Status Pipeline,"Workspace for KLV prescriptions with 7 steps: Draft → Reviewed → With Physician → Returned → With Insurance → Cost Approval / Rejected.",Committed,,
FR-INT-09,2,Service Catalog 2025,"Complete Spitex service catalog with approx. 170 positions, times and KLV categories.",Committed,,
FR-INT-10,2,Automatic Hours/Week Calculation,"Calculation of hours per week per position and totals by category. Considers rhythm, quantity and simultaneous services.",Committed,,
FR-INT-11,2,Inclusive Services Check,"Automatic warning when a service is already included in another (e.g. full body wash includes hair washing).",Committed,,
FR-INT-12,2,Insurance-Specific Limits Check,"Warning when insurance-specific limits are exceeded (e.g. max days or minutes). Informational only, no automatic rejection.",Committed,,
FR-INT-13,2,WZW Justification per Position,"Per service position a justification draft for effectiveness, appropriateness and efficiency is created — as basis for insurance controlling.",Committed,,
FR-ONB-16,2,Medical Diagnoses in KLV Tab,"The KLV tab shows confirmed medical diagnoses as header information — directly from the shared diagnosis artifact, no double entry.",Committed,,
NFR-INT-02,2,Extensible Rule Structures,"Inclusive rules, insurance rules and WZW mappings are table-based. New rules can be added without code changes.",Committed,,

,,,,,,
=== 18. CONVERSATION RECORDING & TRANSCRIPTION ===,,,,,,
,,,,,,
FR-INT-14,2,Conversation Recording,"The nurse can record a conversation. After stopping, suggestions for InterRAI items, nursing diagnoses and KLV positions are automatically generated.",Committed,,
FR-INT-15,2,Recording Status Bar,"A bar at the top of the screen shows the recording status: running (with timer), processing, result (with links to generated suggestions).",Committed,,
FR-AI-02,2,Real Speech Recognition,"Connection to a speech recognition service for real-time transcription with speaker attribution.",Committed,,
FR-ONB-22,2,Recording Button in Tab Bar,"The recording button sits directly in the tab bar and is always reachable, even when switching tabs.",Committed,,

,,,,,,
=== 19. PHYSICIAN REQUEST & EMAIL ===,,,,,,
,,,,,,
FR-ONB-11,2,Editable Email to Physician,"Prepared email with editable subject and body. Fixed parts (attachment note, sender) are visible but not editable. Reset to template available.",Committed,,
FR-ONB-12,2,Anna Extracts Diagnoses from Physician Response,"After receiving the physician response Anna extracts diagnoses and presents them as suggestions for review. No automatic acceptance.",Committed,,
FR-ONB-17,2,Automatically Complete Workflow Steps,"The steps 'Physician contacted' and 'Diagnosis received' are automatically marked as done when the physician request flow reaches the corresponding status.",Committed,,
FR-MAIL-01,2,Email Sending,"Sending prepared emails to physicians with attachment (signed consent form). Recipient verification before sending.",Committed,,
FR-MAIL-02,2,Email Reception,"Reception of incoming emails (e.g. physician response with diagnosis list). Assignment to case and attachment processing.",Committed,,
FR-MAIL-03,2,Reminder Emails,"Automatic or manual reminders for overdue physician requests.",Committed,,

,,,,,,
=== 20. ANNA AI ASSISTANT ===,,,,,,
,,,,,,
FR-STA-01,2,Anna Chat on Home Page,"Chat interface on the home page for asking questions to Anna with card display and follow-up question suggestions.",Committed,,
FR-STA-02,2,Contextual Greetings,"Anna greets appropriately depending on the area and shows relevant summaries.",Committed,,
FR-STA-03,2,Answer Questions,"Anna answers questions with structured responses and action suggestions.",Committed,,
FR-STA-04,2,Highlight Warnings,"Anna detects danger and warning situations and highlights them in color.",Committed,,
FR-SON-04,2,Anna Sidebar,"Anna as assistant in a sidebar (desktop) or fullscreen (mobile), accessible from any area.",Committed,,
FR-SON-05,2,Anna Engine,"Intelligent response engine for summaries, daily briefings and follow-up question suggestions.",Committed,,
FR-SON-06,2,Context Detection,"Anna automatically detects the current area and adapts greetings and suggestions accordingly.",Committed,,
FR-AI-01,2,LLM Integration,"Connection to a language model for real free-text processing instead of fixed rules. Contextual understanding and flexible responses.",Committed,,
FR-AI-03,2,Document Extraction,"Automatic extraction of diagnoses and medications from scanned physician letters. Results as suggestions for manual review.",Committed,,
FR-ONB-21,2,Anna Hints in Onboarding Header,"Prioritized hint line: e.g. 'Physician response received' or 'Request ready to send' with jump to relevant area.",Committed,,

,,,,,,
=== 21. TASKS — EXTENDED (Phase 2) ===,,,,,,
,,,,,,
FR-PEN-03,2,15 Task Types with Anna Support,"Each task type has an Anna configuration: explanation, specific action buttons, priority.",Committed,,
FR-PEN-04,2,Anna Suggestions per Task,"Anna shows a suggestion area per task with contextual info and quick actions.",Committed,,
FR-PEN-06,2,Management Overview,"Aggregated metrics for leadership: open/overdue tasks, staff workload, critical cases.",Committed,,

,,,,,,
=== 22. ALLOCATION (Phase 2) ===,,,,,,
,,,,,,
FR-ZUT-01,2,Matching Algorithm,"Automatic suggestion of the best-fitting nurse based on language (40%), skills (25%), region (20%) and capacity (15%).",Committed,,
FR-ZUT-02,2,Top 3 Suggestions,"The three best matches with score, criteria breakdown and contact details.",Committed,,
FR-ZUT-03,2,Allocation from Patient List,"Allocation directly from the patient list via a sidebar — without page change.",Committed,,

,,,,,,
=== 23. DOCUMENTS — EXTENDED (Phase 2) ===,,,,,,
,,,,,,
FR-DMS-03,2,PDF Generation,"Generation of printable PDFs for service planning sheet, needs assessment form and other forms directly from captured data.",Committed,,
NFR-NOT-01,2,Push Notifications,"Real-time notifications for relevant events (new task, physician response, overdue task).",Committed,,
