requirements-inventory-en
requirements-inventory,,,,,,,,
ID,Type,Priority,Module,Requirement,Description,Status,Source,Remarks
FR-INT-14,FR,2,InterRAI,Global conversation recording,"A globally persistent recording (survives tab switches) records a conversation. After stopping, mock artifacts are automatically generated: InterRAI items, nursing diagnoses, KLV positions.",Implemented,,
FR-INT-15,FR,2,InterRAI,Recording status bar,"A persistent bar at the top of the screen shows the recording status: red pulse dot with timer (recording), spinner (processing), green expandable summary with deep links to generated artifacts (result).",Implemented,,
FR-INT-16,FR,2,InterRAI,Scripted demo conversation,"A realistic demo conversation between nurse and client with transcript segments. Each segment carries recognized InterRAI items, NANDA diagnosis suggestions and KLV suggestions for artifact generation.",Implemented,,
NFR-INT-02,NFR,2,InterRAI,Extensible rule structures,"Inclusive rules and insurance rules are defined as table-based arrays. New rules = new array element, no logic change needed. WZW mapping table similarly extensible.",Implemented,,
FR-DSH-01,FR,2,Dashboard,Anna daily briefing on dashboard,"The strategic dashboard shows an Anna daily briefing that adapts to the current role: nurse sees client focus, back office sees billing focus, management sees pipeline focus.",Implemented,,
FR-DSH-02,FR,1,Dashboard,KPI cards,"Three metric cards: Active Clients (with trend), Onboarding Pipeline (by status), Staff Status (active nurses with capacity).",Implemented,,
FR-DSH-03,FR,1,Dashboard,Compliance risk section,"Six workflow metrics as risk indicators: SRC course overdue, re-assessment due, residence permit B pending, withholding tax registration, child allowance application, salary adjustment after SRC.",Implemented,,
FR-ONB-01,FR,1,Onboarding,Onboarding cases overview list,"All onboarding cases in a filterable list. Status: In Capture, Incomplete, Blocked. Per case: patient, caregiver, start date, responsible person, Anna context banner.",Implemented,,
FR-ONB-02,FR,1,Onboarding,Onboarding wizard with steps,"Guided wizard with steps: 1) Caregiver (HR data), 2) Patient (clinical data + documents), 3) Contract signing. For residence permit B an additional special permit step appears.",Implemented,,
FR-ONB-03,FR,1,Onboarding,Caregiver data capture in onboarding,"Capture of personal data, residence permit status (A-N), withholding tax data, partner data (conditional on marriage/WHT), children and allowances, employment data (hourly wage, IBAN), mandatory documents (ID, insurance card etc.).",Implemented,,
FR-ONB-04,FR,1,Onboarding,Patient data capture in onboarding,"Capture in 9 tabs: Personal data, Social & Tax, Medical history (falls/mood/medication), Activities (ADL with 22 items), InterRAI, Care Planning, KLV, Workflow, Documents (17 mandatory/optional documents).",Implemented,,
FR-ONB-05,FR,1,Onboarding,Compliance hard gate residence permit B,Residence permit B triggers a mandatory submission of special permit confirmation from migration authority. The contract step is blocked until the confirmation is uploaded. A dynamic sidebar step appears.,Implemented,,
FR-ONB-06,FR,1,Onboarding,Compliance medium validation residence permit G,"Residence permit G (cross-border permit) generates a prominent warning with direct upload action for permit G document. No block, but visible action required.",Implemented,,
FR-ONB-07,FR,1,Onboarding,Compliance soft validation child allowances,Dependent children or child allowances through Spitex generate a neutral informational hint: family/birth certificate upload as mandatory document. No block.,Implemented,,
FR-ONB-08,FR,1,Onboarding,E-signature for contract signing,"Canvas-based signature pad for 4 documents (job description, employment contract, privacy policy, consent form). Signature with timestamp and signer name. Employment contract is hard gate for onboarding completion.",Implemented,,
FR-ONB-10,FR,X,Onboarding,Physician request domain object and flow,A dedicated domain object (ArztAnfrage) models the entire physician contact flow: waiting for consent → ready to send → sent (with day counter and reminder) → response received → diagnoses extracted.,Implemented,,
FR-ONB-11,FR,2,Onboarding,Editable physician request email,"The prepared email to the physician has an editable subject and body (pre-filled from template with resolved placeholders). Fixed parts (attachment note, sender signature) are visible but not editable. Reset to template available.",Implemented,,
FR-ONB-12,FR,2,Onboarding,Anna extraction of medical diagnoses,After simulated physician response Anna extracts diagnoses from the attachment and presents them as drafts (status: suggestion) for manual review. No auto-acceptance — four-eyes principle.,Implemented,,
FR-ONB-13,FR,1,Onboarding,Medical diagnoses as standalone artifact,"Medical diagnoses (ICD codes) exist as a standalone artifact on the case with lead conversion IDs (onboardingId + patientId). Fields: ICD code, description, source (physician response or manually entered), status (draft/confirmed).",Implemented,,
FR-ONB-14,FR,2,Onboarding,Two-tier display of medical diagnoses,"Medical diagnoses in care planning: drafts as compact rows with ochre accent and suggestion pill (confirm/reject), confirmed as quiet single-line reference. Manual entry as equivalent input path.",Implemented,,
FR-ONB-15,FR,2,Onboarding,ICD reference chain,Nursing diagnoses carry an icdIds field referencing medical diagnoses. The justification chain reads: KLV service → nursing diagnosis (diagnoseIds) → medical diagnosis (icdIds). No direct KLV-to-ICD mapping.,Implemented,,
FR-ONB-16,FR,2,Onboarding,KLV tab shows medical diagnoses from artifact,The KLV tab displays confirmed medical diagnoses from the shared artifact in the diagnosis header area. No copy — care planning and KLV read the same object.,Implemented,,
FR-ONB-17,FR,2,Onboarding,Automatic workflow step derivation,The steps 'Physician contacted' and 'Diagnosis & medication list received' derive their completion status automatically from the ArztAnfrage object. Read-only checkboxes with automatic provenance and date.,Implemented,,
FR-ONB-18,FR,1,Onboarding,Onboarding conversion,"The conversion creates active patient and caregiver records from an onboarding case. Clinical artifacts (InterRAI, care planning, KLV, workflows) receive the new patientId.",Partial,src/lib/onboarding/konvertierung.ts,Sets patientId on artifacts; full conversion logic is a stub
FR-ONB-19,FR,1,Onboarding,Completion lock with documented override,Missing mandatory documents do not absolutely block completion. An override dialog lists missing documents by name and requires a mandatory justification. Employment contract remains a hard lock (no override).,Implemented,,
FR-ONB-20,FR,1,Onboarding,Case status header with aggregate pills,"The onboarding header shows a deterministic status (Draft / In Progress / Ready to Complete) and clickable pills: 'X of Y steps' (→ workflow tab), 'N documents open' (→ documents tab, ochre only as last blocker).",Implemented,,
FR-ONB-21,FR,2,Onboarding,Anna hint line in header,"Prioritized hint line: 1) Physician response received → jump to care planning, 2) Request ready to send → jump, 3) unconfirmed suggestions. Collapses on scroll. No display when no action needed.",Implemented,,
FR-ONB-22,FR,2,Onboarding,Recording button in tab bar,"The conversation recording button sits right-aligned in the patient step tab bar. Three states: ready (Anna gradient), active (pulse dot + 'Stop'), busy (disabled). Tabs scroll, button stays fixed.",Implemented,,
NFR-ONB-01,NFR,2,Onboarding,Explicit send confirmation,Physician request sending requires explicit confirmation with visible recipient. No auto-send to potentially outdated physician contact (privacy risk). Documented as code comment.,Implemented,,
NFR-ONB-02,NFR,2,Onboarding,Extensible step derivations,"Workflow step derivations (SCHRITT_ABLEITUNGEN) are defined as an array structure. New binding = new object with stepLabel, isCompleted function and provenance function. No logic change needed.",Implemented,,
NFR-ONB-03,NFR,2,Onboarding,Shared completion derivation,"A single abschlussPruefung function provides employmentContractOk, missingMandatoryDocuments and complete. Header status, footer lock and completion dialog all use the same derivation.",Implemented,,
NFR-ONB-04,NFR,2,Onboarding,Three compliance severity levels,"Compliance gates in three tiers: Hard Gate (blocks contract, e.g. permit B), Medium Validation (prominent hint with action, e.g. permit G), Soft Validation (informational, e.g. child allowances).",Implemented,,
FR-PAT-01,FR,1,Patients,Patient list with filters,"Patients are displayed in a table with views (All, Mine, Attention). Per row: name, severity pill, status, assigned nurse, next task. Search and sorting.",Implemented,,
FR-PAT-02,FR,1,Patients,360-degree patient profile,"Patient detail page with 7 tabs: Overview (master data, Anna summary), Medical History, Care Planning (NANDA), KLV (services), Documents, Workflow/Process, Activities (ADL).",Implemented,,
FR-PAT-03,FR,1,Patients,Patient status change,"Patient status (Active, Paused, Ended) can be changed via a modal with confirmation dialog. Status change updates the display in both list and detail views.",Implemented,,
FR-PAT-04,FR,3,Patients,Anna patient summary,"Anna generates a structured summary in the overview tab from master data: age, severity, care level, assigned nurse, open tasks, current diagnoses.",Implemented,,
FR-PAT-05,FR,1,Patients,Sensitive field masking,"AHV number, IBAN and other identification numbers are masked by default (e.g. 756.****.****.XX). A reveal icon allows deliberate unmasking. Reveals are in principle auditable.",Implemented,,
FR-PAT-06,FR,1,Patients,Documents tab with folder structure,"The documents tab shows a SharePoint-like folder structure (8 categories). Per document: upload (file/camera), preview, delete. Progress display for mandatory documents.",Implemented,,
FR-ANG-01,FR,1,Caregivers,Caregiver overview list,"Caregivers in a table with 5 views: All, Mine, Attention, SRC open, In Onboarding. Per row: name, HR status checks, SRC progress, stamp warnings, assigned patients.",Implemented,,
FR-ANG-02,FR,1,Caregivers,360-degree caregiver profile,"Detail page with tabs: Overview (master data, HR checks), Personal/HR (employment, withholding tax), Family/Tax (partner, children, allowances), Bank Details (IBAN, masked), Documents, Monthly Steps.",Implemented,,
FR-ANG-03,FR,1,Caregivers,HR check display,"HR checks (SRC course status, withholding tax registration, residence permit document) are shown as colored status indicators: green (completed), yellow (pending), red (overdue).",Implemented,,
FR-ANG-04,FR,1,Caregivers,SRC stamp warnings,"When the SRC care course is not completed within one year of contract signing, services are paused. The warning shows remaining time and affected patients.",Implemented,,
FR-ANG-06,FR,1,Caregivers,Sensitive caregiver field masking,"AHV number, ZEMIS number and IBAN are displayed masked. Reveal via deliberate click on the eye icon.",Implemented,,
FR-ZUT-01,FR,2,Allocation,Matching algorithm for nurse allocation,"Weighted matching: language (40%), professional skills (25%), region/distance (20%), available capacity (15%). Calculates a percentage score per candidate.",Implemented,,
FR-ZUT-02,FR,2,Allocation,Top 3 match display,"The three best matches are shown with total score, criteria breakdown (bar per dimension) and contact details. Allocation confirmable via click.",Implemented,,
FR-ZUT-03,FR,2,Allocation,Nurse sidebar in patient list,A slide-over sidebar opens directly from the patient list showing match suggestions for the selected patient. Allocation without page change.,Implemented,,
FR-PEN-01,FR,1,Tasks,Unified tasks view,Workflow tasks (automatically generated) and service tickets (manually created) are combined in a unified view. Consistent display with type icons and due date colors.,Implemented,,
FR-PEN-02,FR,1,Tasks,Due date buckets,"Tasks are grouped by urgency: Overdue (red), Today (warning), This Week (neutral), Later (muted). Counter per bucket.",Implemented,,
FR-PEN-03,FR,2,Tasks,15 task types with Anna configuration,"Each of the 15 types (SRC registration, re-assessment, permit B etc.) has its own Anna configuration: contextual explanation, specific action buttons, priority classification.",Implemented,,
FR-PEN-04,FR,2,Tasks,Anna suggestions per task,"Anna shows a suggestion panel per opened task with contextual info and action buttons: open URL, copy data, download document, open email, execute demo mock.",Implemented,,
FR-PEN-06,FR,2,Tasks,Management overview,"Standalone section for management role: KPI aggregates (open/overdue tasks), staff workload (top 5 by task load), critical cases requiring action.",Implemented,,
FR-SON-01,FR,?,Other,App shell with navigation,"Responsive app shell: desktop sidebar (56px icon bar with tooltips and badges), mobile drawer, topbar (search, notifications, user menu), GlobalRecordingBar, Anna float button.",Implemented,,
FR-SON-03,FR,1,Other,Global search,"Search field in the topbar with instant results display. Searches across patients, caregivers and tasks. Results as clickable entries with type icon.",Implemented,,Search logic is pattern-matching-based (mock)
FR-SON-04,FR,2,Other,Anna sidebar,"Anna as AI assistant in a right sidebar (420px desktop, fullscreen mobile). Chat interface with context detection, quick replies, message history and session cache.",Implemented,,
FR-SON-05,FR,2,Other,Anna engine,"Pattern-matching-based engine with processQuery(), generateDailySummary() and generateFollowUpChips(). Answers as AnnaMessage/AnnaCard types with structured data.",Implemented,,No real LLM; mock-based
FR-SON-06,FR,2,Other,Context detection per route,"detectContext() recognizes 9 context types based on the current route. Each context has its own greetings, quick replies and summary strategies.",Implemented,,
FR-SON-07,FR,1,Other,Design system form primitives,"Custom form components: TextInput, TextareaInput, NumberInput, Select, Combobox, DatePicker, AHVNummerInput (with formatting), IBANInput (CH validation), SegmentedControl, DocumentUploader, SignaturModal.",Implemented,,
FR-SON-08,FR,1,Other,Design system showcase,"Internal demo page at /showcase/forms with all component variants: buttons, cards, colors, forms, modals, spacing, status chips, tables, tabs, typography.",Implemented,,
FR-SON-09,FR,1,Other,Styleguide documentation,"Binding styleguide (styleguide.md) documents all UI patterns: ReviewBlock (8.10), TabHeader (8.11), SectionAccordion (8.12), ItemRow (8.13), SidebarNav (8.14), action levels, provenance/status.",Implemented,styleguide.md,
FR-SON-10,FR,1,Other,Detail navigation,Detail pages offer a back button and prev/next navigation for browsing through lists. Keyboard support with arrow keys.,Implemented,,
NFR-SON-03,NFR,1,Other,Role-based visibility,"Three user roles (Registered Nurse, Back Office, Management) with role-specific dashboard content and demo role switcher in the topbar.",Implemented,,Role-based visibility only at dashboard level; no end-to-end RBAC middleware
FR-MAIL-01,FR,2,Other,Email sending to physicians,Sending prepared emails to treating physicians with attachment (signed consent form). Editable subject and body. Recipient verification before sending.,Not implemented,,Currently only local state change in ArztAnfrage object; no SMTP/mail service
FR-MAIL-02,FR,2,Other,Email reception and inbox,"Reception and display of incoming emails (e.g. physician response with diagnosis list as attachment). Inbox with case assignment, attachment extraction.",Not implemented,,Physician response is simulated via demo button; no mail server connection
FR-MAIL-03,FR,2,Other,Reminder emails,Automatic or manual sending of reminder emails for overdue physician requests (from configurable threshold).,Not implemented,,Button 'Send reminder' exists; only changes local date
FR-DMS-01,FR,1,Other,Cloud storage integration (SharePoint/GDrive),Connection to SharePoint or Google Drive for persistent document storage. Automatic folder generation per patient/caregiver according to defined structure (8 categories).,Not implemented,,Toast 'Saved to SharePoint' exists; no API connection
FR-DMS-02,FR,1,Other,Document scan with PDF conversion,"Real camera capture via device API with subsequent conversion to PDF. Support for multi-page scans, automatic alignment and compression.",Not implemented,,Camera modal simulates photo as file object in memory; no real camera API or PDF conversion
FR-DMS-03,FR,2,Other,PDF generation for forms,"Generation of printable PDFs for service planning sheet, needs assessment form (KLV Art. 7) and other forms directly from captured data.",Not implemented,,Buttons exist with toast 'Document generation coming soon'
FR-DMS-04,FR,X,Other,Document versioning,"Version management for document updates: previous versions remain viewable, change log per document.",Not implemented,,No version management implemented
FR-SIG-01,FR,1,Onboarding,Canvas-based in-person signature with document sealing,"In-person signature on tablet/phone via canvas (finger or stylus). Export of signature as image (canvas.toDataURL), embedding in the signed PDF, document sealing (hash of document + signature timestamp + signer as signature record), and persistence in the database.",Partial,src/app/components/VertragsunterzeichnungPhase.tsx + src/app/components/form/SignaturModal.tsx,Canvas pad with touch/stylus implemented; export + sealing + persistence missing
FR-SIG-02,FR,1,Onboarding,Contract management and tracking,"Management of all contracts to be signed per mandate: status overview (open/signed), archiving of signed documents with embedded signature. Currently the contract signing exists as a wizard step with status tracking in local state.",Partial,src/app/components/form/VertragsStep.tsx,Wizard step with status implemented; persistence and archiving missing
FR-AI-01,FR,2,Other,LLM integration for Anna,"Connection of Anna to a large language model (e.g. Claude, GPT) for real free-text processing instead of pattern matching. Contextual understanding, flexible responses.",Not implemented,,Anna uses if/else rule set; no API call to LLM
FR-AI-02,FR,2,Other,Speech-to-text transcription,"Real speech recognition (e.g. Whisper, Google Speech-to-Text) for conversation recording. Real-time transcription with speaker attribution.",Not implemented,,Recording uses scripted demo transcript; no real audio processing
FR-AI-03,FR,2,Other,Document extraction (Document AI),"Automatic extraction of structured data from physician letters, prescriptions and diagnosis lists (OCR + NLP). Results as drafts for manual review.",Not implemented,,Diagnosis extraction from physician response uses mock data; no OCR/NLP
NFR-SEC-01,NFR,1,Other,Real authentication and session management,"Production authentication with secure password hashing, JWT/session tokens, automatic timeout, secure logout and brute-force protection.",Not implemented,,Login is hardcoded (admin / fixed password); no token management
NFR-SEC-02,NFR,1,Other,RBAC middleware at route level,End-to-end role-based access control on all routes and API endpoints. Not just UI visibility but server-side enforcement.,Not implemented,,Roles exist; visibility only at dashboard level
NFR-SEC-03,NFR,1,Other,Audit trail for sensitive operations,"Logging of all access to sensitive data (AHV reveal, status changes, document access) with timestamp, user and action. Non-deletable.",Not implemented,,Required in CLAUDE.md; no code
NFR-SEC-04,NFR,1,Other,Data encryption,"Encryption of sensitive data at rest (database) and in transit (HTTPS/TLS). Special protection for AHV, ZEMIS, IBAN and medical data.",Not implemented,,No encryption implementation
NFR-DB-01,NFR,1,Other,Database and persistence,"Production database (PostgreSQL via Prisma) with schema migrations, seed data and connection pooling. Data survives server restart and browser refresh.",Not implemented,,All data lives in React state; no Prisma schema present
NFR-DB-02,NFR,1,Other,Multi-user capability,Concurrent access by multiple users to the same cases with conflict detection (optimistic locking) and real-time synchronization.,Not implemented,,Single-user in-memory state
FR-SON-11,FR,1,Other,Workflow checklist management,"Workflow steps can be checked off, assigned to a person and given a due date. The checklist is available across onboarding, patient detail and caregiver detail.",Not implemented,,WorkflowChecklist component exists in prototype with mock data; persistence missing
FR-SON-12,FR,1,Other,User management,"Users can be created, edited and deactivated. Roles (Registered Nurse, Back Office, Management) are assigned per user. Invitation via email.",Not implemented,,Only mock auth with hardcoded credentials present
FR-PEN-07,FR,1,Tasks,Create and edit tickets,"Service desk tickets can be manually created with title, description, type, priority and assignment. Existing tickets can be edited (change status, comments, reassignment).",Not implemented,,Unified view exists (read-only); CRUD operations missing
FR-PEN-08,FR,1,Tasks,Automatic ticket creation from workflows,"Workflow steps automatically create tasks when due (e.g. SRC registration due → task for responsible person). Link between workflow step and generated task.",Not implemented,,Mock data contains predefined workflow tasks; automatic creation missing
FR-PAT-07,FR,1,Patients,Patient-caregiver linking,"The n:m relationship between patients and caregivers is displayed and can be edited. Navigation from patient to linked caregivers and vice versa. Assignment of new links.",Not implemented,,Data model provides for n:m (CLAUDE.md); UI linking missing
FR-PAT-08,FR,1,Patients,Edit patient master data after onboarding,"Master data (personal details, contact, insurance, physician) can be edited in the Patient 360 detail page, not only during onboarding.",Not implemented,,Forms exist in onboarding; editing in Patient360 missing
FR-PAT-09,FR,1,Patients,Ticket creation from patient detail page,"A service desk ticket can be created directly from the patient detail page, automatically linked to the patient.",Not implemented,,Patient360 exists; ticket creation there missing
FR-ANG-07,FR,1,Caregivers,Document upload to SharePoint from caregiver detail,"Documents can be uploaded directly from the caregiver detail page to the associated SharePoint folder (scan or file upload).",Not implemented,,Documents tab exists in prototype; SharePoint connection missing
FR-ANG-08,FR,1,Caregivers,Edit caregiver master data,"Master data (personal details, HR data, withholding tax, family, bank details) can be edited in the Caregiver 360 detail page.",Not implemented,,Forms exist in onboarding; editing in Caregiver360 missing
FR-ANG-09,FR,1,Caregivers,Ticket creation from caregiver detail page,"A service desk ticket can be created directly from the caregiver detail page, automatically linked to the caregiver.",Not implemented,,Caregiver360 exists; ticket creation there missing
NFR-NOT-01,NFR,2,Other,Push notifications,"Real-time notifications for relevant events (new task, physician response, overdue task) via WebSocket or Push API.",Not implemented,,Bell icon in topbar exists; no notification logic
