Anforderungskatalog Spitex Cockpit
"Wondercode GmbH — Spitex Kaufmann AG",,,,,,
"Stand: 10. Juni 2026 | Phase 1: Go-Live 30.09.2026 | Phase 2: Go-Live 04.01.2027",,,,,,
"Hinweis: Die konkreten Datenfelder pro Objekt werden in der Verfeinerungsperiode (14 Tage ab Unterzeichnung) gemeinsam spezifiziert.",,,,,,
,,,,,,
ID,Phase,Anforderung,Beschreibung,Status,Abnahme,Bemerkung
FR-ONB-05,1,Spezialbewilligung bei Aufenthaltsstatus B,"Bei Aufenthaltsstatus B wird automatisch die Einreichung einer Spezialbewilligung beim Migrationsamt verlangt. Die Vertragsunterzeichnung ist blockiert, bis der Nachweis hochgeladen ist.",Zugesagt,,
FR-ONB-06,1,Hinweis bei Aufenthaltsstatus G,"Bei Aufenthaltsstatus G (Grenzgaenger) erscheint ein prominenter Hinweis mit direkter Upload-Moeglichkeit fuer den Ausweis G. Die Erfassung wird nicht blockiert, aber der Handlungsbedarf ist klar sichtbar.",Zugesagt,,
FR-ONB-07,1,Hinweis bei Kinderzulagen,"Unterhaltspflichtige Kinder oder Kinderzulagen ueber die Spitex erzeugen einen informativen Hinweis: Familienbuch oder Geburtsurkunde muss hochgeladen werden.",Zugesagt,,

,,,,,,
=== 4. ONBOARDING — Vertragsunterzeichnung & Signatur ===,,,,,,
,,,,,,
FR-ONB-08,1,Digitale Unterschrift auf Tablet/Handy,"Vier Dokumente (Stellenbeschreibung, Arbeitsvertrag, Datenschutzerklaerung, Einwilligungserklaerung) werden per Finger oder Stift direkt auf dem Tablet/Handy unterschrieben. Unterschrift mit Zeitstempel und Name. Der Arbeitsvertrag muss unterschrieben sein, bevor das Onboarding abgeschlossen werden kann.",Zugesagt,,
FR-SIG-01,1,Signatur-Export und Dokument-Versiegelung,"Die auf dem Canvas geleistete Unterschrift wird als Bild exportiert und in das signierte PDF eingebettet. Ein Signatur-Record (Dokument-Hash, Zeitstempel, Unterzeichner) stellt sicher, dass das Dokument nach der Unterschrift nicht veraendert wurde.",Zugesagt,,
FR-SIG-02,1,Vertragsverwaltung,"Uebersicht aller zu unterzeichnenden Vertraege pro Mandat mit Status (offen/signiert). Signierte Dokumente werden mit eingebetteter Unterschrift archiviert.",Zugesagt,,
FR-ONB-09,1,Einwilligungserklaerung als geteiltes Dokument,"Die Datenschutz-Einwilligungserklaerung kann auf zwei Wegen signiert werden: digital im Vertragsschritt oder als Scan-Upload im Dokumente-Tab. Beide Wege aktualisieren denselben Status — es gibt nur eine Wahrheit.",Zugesagt,,

,,,,,,
=== 5. ONBOARDING — Abschluss & Konvertierung ===,,,,,,
,,,,,,
FR-ONB-18,1,Onboarding abschliessen und Datensaetze erzeugen,"Nach erfolgreichem Abschluss des Onboardings werden automatisch ein Patienten- und ein Angehoerigen-Datensatz erzeugt. Alle erfassten Daten und Dokumente werden uebernommen.",Zugesagt,,
FR-ONB-19,1,Abschluss-Sperre mit dokumentiertem Override,"Fehlende Pflichtdokumente verhindern den Abschluss nicht absolut. Ein Dialog listet die fehlenden Dokumente namentlich auf und verlangt eine schriftliche Begruendung. Die Begruendung wird am Vorgang dokumentiert. Der Arbeitsvertrag bleibt eine harte Sperre (kein Override moeglich).",Zugesagt,,

,,,,,,
=== 6. ONBOARDING — Aerztliche Diagnosen ===,,,,,,
,,,,,,
FR-ONB-13,1,Aerztliche Diagnosen erfassen,"Aerztliche Diagnosen (ICD-Codes) koennen manuell erfasst werden mit Code, Bezeichnung und Quelle. Sie sind ein eigenstaendiger Datensatz am Vorgang und dienen als medizinische Grundlage fuer die Pflegeplanung und KLV-Begruendung.",Zugesagt,,

,,,,,,
=== 7. PATIENTEN ===,,,,,,
,,,,,,
FR-PAT-01,1,Patientenliste,"Alle Patienten in einer filterbaren Tabelle. Ansichten: Alle, Meine, Aufmerksamkeit. Pro Zeile: Name, Schweregrad, Status, zugeteilte Pflegefachkraft, naechste Aufgabe. Mit Suche und Sortierung.",Zugesagt,,
FR-PAT-02,1,Patienten-Detailseite,"360-Grad-Profil mit Tabs: Ueberblick, Anamnese, Pflegeplanung, KLV, Dokumente, Workflow, Aktivitaeten.",Zugesagt,,
FR-PAT-08,1,Patienten-Stammdaten bearbeiten,"Stammdaten (Personalien, Kontakt, Versicherung, Hausarzt) koennen direkt in der Patienten-Detailseite bearbeitet werden — nicht nur waehrend des Onboardings.",Zugesagt,,Felder werden in Verfeinerungsperiode spezifiziert
FR-PAT-03,1,Patientenstatus aendern,"Der Status (Aktiv, Pausiert, Beendet) kann ueber einen Dialog mit Bestaetigung geaendert werden.",Zugesagt,,
FR-PAT-05,1,Sensible Daten maskieren,"AHV-Nummer, IBAN und weitere sensible Nummern werden standardmaessig verdeckt angezeigt. Aufdeckung nur durch bewussten Klick.",Zugesagt,,
FR-PAT-06,1,Dokumente anzeigen und hochladen,"Dokumente-Tab mit Ordnerstruktur (8 Kategorien). Pro Dokument: Hochladen (Datei oder Kamera-Scan), Vorschau, Loeschen. Dokumente werden im SharePoint abgelegt.",Zugesagt,,
FR-PAT-07,1,Verlinkung zu Angehoerigen,"Die Beziehung zwischen Patienten und Angehoerigen wird angezeigt und kann bearbeitet werden (ein Patient kann mehrere Angehoerige haben und umgekehrt). Direkte Navigation zwischen verknuepften Datensaetzen.",Zugesagt,,
FR-PAT-09,1,Ticket erstellen aus Patienten-Detailseite,"Direkt aus der Patienten-Detailseite kann ein Service-Desk-Ticket erstellt werden, das automatisch mit dem Patienten verknuepft ist.",Zugesagt,,

,,,,,,
=== 8. ANGEHOERIGE ===,,,,,,
,,,,,,
FR-ANG-01,1,Angehoerigen-Liste,"Alle Angehoerigen in einer filterbaren Tabelle. Ansichten: Alle, Meine, Aufmerksamkeit, SRK offen, Im Onboarding. Pro Zeile: Name, HR-Status, SRK-Fortschritt, Stempel-Warnungen.",Zugesagt,,
FR-ANG-02,1,Angehoerigen-Detailseite,"360-Grad-Profil mit Tabs: Ueberblick, Personalien/HR, Familie/Steuern, Bankverbindung, Dokumente, Monatsschritte.",Zugesagt,,
FR-ANG-08,1,Angehoerigen-Stammdaten bearbeiten,"Stammdaten (Personalien, HR-Daten, Quellensteuer, Familie, Bankverbindung) koennen direkt in der Angehoerigen-Detailseite bearbeitet werden.",Zugesagt,,Felder werden in Verfeinerungsperiode spezifiziert
FR-ANG-03,1,HR-Check-Anzeige,"Automatische Pruefung von SRK-Kursstatus, Quellensteuer-Anmeldung und Aufenthaltsstatus-Dokument. Ergebnis als farbige Ampel: gruen (erledigt), gelb (ausstehend), rot (ueberfaellig).",Zugesagt,,
FR-ANG-04,1,SRK-Stempel-Warnung,"Warnung, wenn der SRK-Pflegekurs nicht innerhalb eines Jahres nach Vertragsunterzeichnung absolviert wird. Zeigt Restfrist und betroffene Patienten.",Zugesagt,,
FR-ANG-06,1,Sensible Daten maskieren,"AHV-Nummer, ZEMIS-Nummer und IBAN werden verdeckt angezeigt. Aufdeckung nur durch bewussten Klick.",Zugesagt,,
FR-ANG-07,1,Dokumente hochladen in SharePoint,"Dokumente koennen direkt aus der Angehoerigen-Detailseite in den zugehoerigen SharePoint-Ordner hochgeladen werden (Scan oder Datei).",Zugesagt,,
FR-ANG-09,1,Ticket erstellen aus Angehoerigen-Detailseite,"Direkt aus der Angehoerigen-Detailseite kann ein Service-Desk-Ticket erstellt werden, das automatisch mit dem Angehoerigen verknuepft ist.",Zugesagt,,

,,,,,,
=== 9. PENDENZEN & TICKETS ===,,,,,,
,,,,,,
FR-PEN-01,1,Uebersichtsliste Pendenzen,"Workflow-Aufgaben (automatisch erzeugt) und Service-Tickets (manuell erstellt) werden in einer gemeinsamen Uebersicht dargestellt.",Zugesagt,,
FR-PEN-02,1,Gruppierung nach Dringlichkeit,"Pendenzen werden nach Faelligkeit gruppiert: Ueberfaellig, Heute, Diese Woche, Spaeter. Mit Zaehler pro Gruppe.",Zugesagt,,
FR-PEN-07,1,Tickets erstellen und bearbeiten,"Service-Desk-Tickets koennen manuell erstellt werden mit Titel, Beschreibung, Typ, Prioritaet und Zuweisung. Bestehende Tickets koennen bearbeitet werden: Status aendern, Kommentare hinzufuegen, neu zuweisen.",Zugesagt,,
FR-PEN-08,1,Automatische Tickets aus Workflows,"Workflow-Schritte erzeugen bei Faelligkeit automatisch Pendenzen (z.B. SRK-Anmeldung faellig erzeugt eine Aufgabe fuer die zustaendige Person).",Zugesagt,,

,,,,,,
=== 10. WORKFLOWS ===,,,,,,
,,,,,,
FR-SON-11,1,Workflow-Checkliste,"Workflow-Schritte koennen abgehakt, einer Person zugewiesen und mit einem Faelligkeitsdatum versehen werden. Die Checkliste ist in Onboarding, Patienten-Detail und Angehoerigen-Detail verfuegbar.",Zugesagt,,

,,,,,,
=== 11. DOKUMENTE & SHAREPOINT ===,,,,,,
,,,,,,
FR-DMS-01,1,SharePoint-Integration,"Anbindung an SharePoint fuer die persistente Dokumentenablage. Pro Patient und Angehoeriger wird automatisch eine Ordnerstruktur (8 Kategorien) angelegt.",Zugesagt,,
FR-DMS-02,1,Dokument-Scan mit PDF-Konvertierung,"Dokumente koennen ueber die Kamera des Geraets gescannt werden. Der Scan wird automatisch in ein PDF konvertiert und im zugehoerigen SharePoint-Ordner abgelegt.",Zugesagt,,

,,,,,,
=== 12. SUCHE & NAVIGATION ===,,,,,,
,,,,,,
FR-SON-03,1,Globale Suche,"Suchfeld in der Kopfleiste mit sofortiger Ergebnisanzeige. Sucht ueber Patienten, Angehoerige und Pendenzen.",Zugesagt,,
FR-SON-10,1,Detailseiten-Navigation,"Detailseiten bieten einen Zurueck-Button und eine Vor/Zurueck-Navigation zum Blaettern durch Listen.",Zugesagt,,

,,,,,,
=== 13. BENUTZERVERWALTUNG & SICHERHEIT ===,,,,,,
,,,,,,
FR-SON-12,1,Benutzerverwaltung,"Benutzer koennen angelegt, bearbeitet und deaktiviert werden. Drei Rollen: Diplomierte Pflegefachperson, Backoffice, Management. Rollen werden pro Benutzer zugewiesen.",Zugesagt,,
NFR-SEC-01,1,Authentifizierung und Sitzungsverwaltung,"Produktive Anmeldung mit sicherem Passwort, automatischer Abmeldung nach Inaktivitaet und Schutz vor Brute-Force-Angriffen.",Zugesagt,,
NFR-SEC-02,1,Rollenbasierte Zugriffskontrolle,"Jeder Bereich der Anwendung ist nur fuer berechtigte Rollen zugaenglich. Die Pruefung erfolgt serverseitig, nicht nur in der Anzeige.",Zugesagt,,
NFR-SEC-03,1,Audit-Protokoll,"Alle Zugriffe auf sensible Daten (z.B. AHV-Nummer aufdecken, Status aendern, Dokument oeffnen) werden mit Zeitstempel, Benutzer und Aktion protokolliert.",Zugesagt,,
NFR-SEC-04,1,Datenverschluesselung,"Sensible Daten (AHV, ZEMIS, IBAN, medizinische Angaben) werden verschluesselt gespeichert und uebertragen.",Zugesagt,,

,,,,,,
=== 14. TECHNISCHE GRUNDLAGEN ===,,,,,,
,,,,,,
NFR-DB-01,1,Datenbank,"Produktive Datenbank mit Datenmigrations-Mechanismus. Alle Daten bleiben nach Neustart oder Update erhalten.",Zugesagt,,
NFR-DB-02,1,Mehrbenutzer-Faehigkeit,"Mehrere Personen koennen gleichzeitig mit der Anwendung arbeiten, ohne dass Daten verloren gehen oder sich gegenseitig ueberschreiben.",Zugesagt,,
NFR-SON-03,1,Rollen-basierte Sichtbarkeit,"Drei Benutzerrollen mit jeweils angepasster Sichtbarkeit: Pflegefachperson sieht Klienten-Fokus, Backoffice sieht HR- und Abrechnungsdaten, Management sieht Kennzahlen und Compliance.",Zugesagt,,

,,,,,,
"==============================",,,,,,
"=== PHASE 2 — Go-Live 04.01.2027 ===",,,,,,
"==============================",,,,,,
,,,,,,

,,,,,,
=== 15. INTERRAI-ASSESSMENT ===,,,,,,
,,,,,,
FR-INT-01,2,InterRAI-Uebersichtsliste,"Alle InterRAI-Assessments in einer filterbaren Liste: Alle, In Bearbeitung, Abgeschlossen, Re-Assessment faellig.",Zugesagt,,
FR-INT-02,2,InterRAI-Arbeitsbereich,"Workspace zur Erfassung der InterRAI-Items mit Navigation, aufklappbaren Sektionen und automatischer Priorisierung (unsichere Items werden hervorgehoben).",Zugesagt,,
FR-INT-03,2,InterRAI-HC-Schweiz Itemkatalog,"Ca. 225 offizielle InterRAI-HC-Schweiz Items in den Sektionen A bis S mit allen Antwortoptionen.",Zugesagt,,
FR-INT-04,2,Abgeschlossene Assessments einsehen,"Abgeschlossene Assessments zeigen alle erfassten Items, CAP-Resultate und Outcome-Scales in einer geschuetzten Ansicht.",Zugesagt,,
FR-INT-05,2,Auswertung,"Outcome-Scales (ADL, IADL, CPS etc.) mit Balkendiagrammen, getriggerte CAPs mit Prioritaet, Sektionenuebersicht.",Zugesagt,,

,,,,,,
=== 16. PFLEGEPLANUNG ===,,,,,,
,,,,,,
FR-INT-06,2,Pflegeplanung-Editor,"Erfassung und Bearbeitung von Pflegediagnosen (NANDA-Codes), Massnahmen und Zielen. Diagnosen mit Begruendung und zugeordneten Massnahmen/Zielen.",Zugesagt,,
FR-INT-07,2,NANDA/ENP-Katalog,"Auswahl aus 12 NANDA-Diagnosen mit vorgeschlagenen Massnahmen und Zielen. Beim Hinzufuegen werden Vorschlaege automatisch angeboten.",Zugesagt,,
FR-ONB-14,2,Aerztliche und pflegerische Diagnosen getrennt dargestellt,"Aerztliche Diagnosen (ICD) erscheinen als kompakte Referenz-Zeilen, Pflegediagnosen (NANDA) als ausfuehrliche Karten mit Massnahmen und Zielen.",Zugesagt,,
FR-ONB-15,2,Begruendungskette ICD → NANDA → KLV,"Pflegediagnosen verweisen auf aerztliche Diagnosen, KLV-Leistungen verweisen auf Pflegediagnosen. Lueckenlose Begruendungskette fuer die Krankenkasse.",Zugesagt,,

,,,,,,
=== 17. KLV-VERORDNUNG ===,,,,,,
,,,,,,
FR-INT-08,2,KLV-Workspace mit Status-Pipeline,"Workspace fuer KLV-Verordnungen mit 7 Schritten: Entwurf → Kontrolliert → Beim Arzt → Zurueck vom Arzt → Bei Krankenkasse → Kostengutsprache erhalten / Abgelehnt.",Zugesagt,,
FR-INT-09,2,Leistungskatalog 2025,"Vollstaendiger Spitex-Leistungskatalog mit ca. 170 Positionen, Zeiten und KLV-Kategorien.",Zugesagt,,
FR-INT-10,2,Automatische Berechnung h/Woche,"Berechnung der Stunden pro Woche pro Position und Gesamtsummen nach Kategorie. Beruecksichtigt Rhythmus, Anzahl und Simultanleistungen.",Zugesagt,,
FR-INT-11,2,Pruefung auf enthaltene Leistungen,"Automatische Warnung, wenn eine Leistung bereits in einer anderen enthalten ist (z.B. Ganzwaesche schliesst Haare waschen ein).",Zugesagt,,
FR-INT-12,2,Kassenspezifische Limiten-Pruefung,"Warnung bei Ueberschreitung kassenspezifischer Grenzen (z.B. max. Tage oder Minuten). Rein informativ, keine automatische Ablehnung.",Zugesagt,,
FR-INT-13,2,WZW-Begruendung pro Position,"Pro Leistungsposition wird ein Begruendungs-Entwurf fuer Wirtschaftlichkeit, Zweckmaessigkeit und Wirksamkeit erstellt — als Grundlage fuer das Controlling der Krankenkasse.",Zugesagt,,
FR-ONB-16,2,Aerztliche Diagnosen im KLV-Tab,"Der KLV-Tab zeigt die bestaetigten aerztlichen Diagnosen als Kopfinformation — direkt aus dem geteilten Diagnosen-Artefakt, keine Doppelerfassung.",Zugesagt,,
NFR-INT-02,2,Erweiterbare Regelstrukturen,"Inklusiv-Regeln, Kassenregeln und WZW-Zuordnungen sind tabellenbasiert. Neue Regeln koennen ohne Programmieraenderung hinzugefuegt werden.",Zugesagt,,

,,,,,,
=== 18. GESPRAECHS-AUFNAHME & TRANSKRIPTION ===,,,,,,
,,,,,,
FR-INT-14,2,Gespraechs-Recording,"Die Pflegefachperson kann ein Gespraech aufzeichnen. Nach dem Stoppen werden automatisch Vorschlaege fuer InterRAI-Items, Pflegediagnosen und KLV-Positionen erzeugt.",Zugesagt,,
FR-INT-15,2,Recording-Statusleiste,"Eine Leiste am oberen Bildschirmrand zeigt den Aufnahme-Status: laufend (mit Timer), verarbeitend, Ergebnis (mit Links zu den erzeugten Vorschlaegen).",Zugesagt,,
FR-AI-02,2,Echte Spracherkennung,"Anbindung an einen Spracherkennungsdienst fuer Echtzeit-Transkription mit Sprecherzuordnung.",Zugesagt,,
FR-ONB-22,2,Aufnahme-Button in der Tab-Leiste,"Der Aufnahme-Button sitzt direkt in der Tab-Leiste und ist jederzeit erreichbar, auch beim Tab-Wechsel.",Zugesagt,,

,,,,,,
=== 19. ARZT-ANFRAGE & E-MAIL ===,,,,,,
,,,,,,
FR-ONB-11,2,Editierbare E-Mail an den Arzt,"Vorbereitete E-Mail mit editierbarem Betreff und Text. Feste Teile (Anhang-Hinweis, Absender) sind sichtbar aber nicht aenderbar. Zuruecksetzen auf Vorlage moeglich.",Zugesagt,,
FR-ONB-12,2,Anna extrahiert Diagnosen aus Arzt-Antwort,"Nach Eingang der Arzt-Antwort extrahiert Anna die Diagnosen und legt sie als Vorschlaege zur Pruefung vor. Keine automatische Uebernahme.",Zugesagt,,
FR-ONB-17,2,Workflow-Schritte automatisch abschliessen,"Die Schritte 'Arzt kontaktiert' und 'Diagnose erhalten' werden automatisch als erledigt markiert, sobald der Arzt-Anfrage-Flow den entsprechenden Status erreicht.",Zugesagt,,
FR-MAIL-01,2,E-Mail-Versand,"Versand vorbereiteter E-Mails an Aerzte mit Anhang (signierte Einwilligung). Empfaenger-Pruefung vor dem Versand.",Zugesagt,,
FR-MAIL-02,2,E-Mail-Empfang,"Empfang eingehender E-Mails (z.B. Arzt-Antwort mit Diagnoseliste). Zuordnung zum Vorgang und Anhang-Verarbeitung.",Zugesagt,,
FR-MAIL-03,2,Erinnerungs-E-Mails,"Automatische oder manuelle Erinnerungen bei ueberfaelligen Arzt-Anfragen.",Zugesagt,,

,,,,,,
=== 20. ANNA AI-ASSISTENT ===,,,,,,
,,,,,,
FR-STA-01,2,Anna-Chat auf der Startseite,"Chat-Interface auf der Startseite zum Stellen von Fragen an Anna mit Karten-Darstellung und Folgefragen-Vorschlaegen.",Zugesagt,,
FR-STA-02,2,Kontextuelle Begruessungen,"Anna begruesst je nach Bereich passend und zeigt relevante Zusammenfassungen.",Zugesagt,,
FR-STA-03,2,Fragen beantworten,"Anna beantwortet Fragen mit strukturierten Antworten und Aktions-Vorschlaegen.",Zugesagt,,
FR-STA-04,2,Warnungen hervorheben,"Anna erkennt Gefahren- und Warnungssituationen und hebt sie farblich hervor.",Zugesagt,,
FR-SON-04,2,Anna-Sidebar,"Anna als Assistentin in einer Seitenleiste (Desktop) oder Vollbild (Mobile), erreichbar aus jedem Bereich.",Zugesagt,,
FR-SON-05,2,Anna-Engine,"Intelligente Antwort-Engine fuer Zusammenfassungen, Tagesbriefings und Folgefragen-Vorschlaege.",Zugesagt,,
FR-SON-06,2,Kontext-Erkennung,"Anna erkennt automatisch den aktuellen Bereich und passt Begruessungen und Vorschlaege entsprechend an.",Zugesagt,,
FR-AI-01,2,LLM-Anbindung,"Anbindung an ein Sprachmodell fuer echte Freitext-Verarbeitung statt fester Regeln. Kontextuelles Verstaendnis und flexible Antworten.",Zugesagt,,
FR-AI-03,2,Dokumenten-Extraktion,"Automatische Extraktion von Diagnosen und Medikamenten aus eingescannten Arzt-Briefen. Ergebnisse als Vorschlaege zur manuellen Pruefung.",Zugesagt,,
FR-ONB-21,2,Anna-Hinweise im Onboarding-Header,"Priorisierte Hinweis-Zeile: z.B. 'Arzt-Antwort erhalten' oder 'Anfrage versandbereit' mit Sprung zum relevanten Bereich.",Zugesagt,,

,,,,,,
=== 21. PENDENZEN — ERWEITERT (Phase 2) ===,,,,,,
,,,,,,
FR-PEN-03,2,15 Aufgabentypen mit Anna-Unterstuetzung,"Jeder Aufgabentyp hat eine Anna-Konfiguration: Erklaerung, spezifische Aktions-Buttons, Prioritaet.",Zugesagt,,
FR-PEN-04,2,Anna-Vorschlaege pro Pendenz,"Anna zeigt pro Aufgabe einen Vorschlags-Bereich mit kontextueller Info und Schnellaktionen.",Zugesagt,,
FR-PEN-06,2,Management-Uebersicht,"Aggregierte Kennzahlen fuer die Leitung: offene/ueberfaellige Pendenzen, Mitarbeiter-Auslastung, kritische Faelle.",Zugesagt,,

,,,,,,
=== 22. ZUTEILUNG (Phase 2) ===,,,,,,
,,,,,,
FR-ZUT-01,2,Matching-Algorithmus,"Automatischer Vorschlag der passendsten Pflegefachkraft basierend auf Sprache (40%), fachlichen Skills (25%), Region (20%) und Kapazitaet (15%).",Zugesagt,,
FR-ZUT-02,2,Top-3-Vorschlaege,"Die drei besten Matches mit Score, Kriterien-Aufschluesselung und Kontaktdaten.",Zugesagt,,
FR-ZUT-03,2,Zuteilung aus der Patientenliste,"Zuteilung direkt aus der Patientenliste ueber eine Seitenleiste — ohne Seitenwechsel.",Zugesagt,,

,,,,,,
=== 23. DOKUMENTE — ERWEITERT (Phase 2) ===,,,,,,
,,,,,,
FR-DMS-03,2,PDF-Generierung,"Generierung druckfaehiger PDFs fuer Leistungsplanungsblatt, Bedarfsmeldeformular und weitere Formulare direkt aus den erfassten Daten.",Zugesagt,,
NFR-NOT-01,2,Push-Benachrichtigungen,"Echtzeit-Benachrichtigungen bei relevanten Ereignissen (neue Aufgabe, Arzt-Antwort, ueberfaellige Pendenz).",Zugesagt,,
