ist-inventar_3
ist-inventar_3,,,,,,,,
ID,Typ,Priorität,Modul,Anforderung,Beschreibung,Status,Quelle,Bemerkung
FR-DSH-01,FR,2,Dashboard,Anna-Tagesbriefing im Dashboard,"Das strategische Dashboard zeigt ein Anna-Tagesbriefing, das sich an die aktuelle Rolle anpasst: Pflegefachperson sieht Klienten-Fokus, Backoffice sieht Abrechnungs-Fokus, Management sieht Pipeline-Fokus.",Implementiert,,
FR-DSH-02,FR,1,Dashboard,KPI-Karten,"Drei Kennzahl-Karten: Aktive Klienten (mit Trend), Onboarding-Pipeline (nach Status), Personalstatus (aktive Pflegefachkraefte mit Kapazitaet).",Implementiert,,
FR-DSH-03,FR,1,Dashboard,Compliance-Risiko-Sektion,"Sechs Workflow-Metriken als Risiko-Indikatoren: SRK-Kurs ueberfaellig, Re-Assessment faellig, Ausweis B ausstehend, Quellensteuer-Anmeldung, Kinderzulagen-Antrag, Lohnanpassung nach SRK.",Implementiert,,
FR-ONB-01,FR,1,Onboarding,Onboarding-Faelle-Uebersichtsliste,"Alle Onboarding-Vorgaenge in einer filterbaren Liste. Status: In Erfassung, Unvollstaendig, Blockiert. Pro Fall: Patient, Angehoeriger, Eintrittsdatum, zustaendige Person, Anna-Kontext-Banner.",Implementiert,,
FR-ONB-02,FR,1,Onboarding,Onboarding-Wizard mit Schritten,"Gefuehrter Wizard mit den Schritten: 1) Angehoeriger (HR-Daten), 2) Patient (klinische Daten + Dokumente), 3) Vertragsunterzeichnung. Bei Aufenthaltsstatus B erscheint ein zusaetzlicher Spezialbewilligungs-Schritt.",Implementiert,,
FR-ONB-03,FR,1,Onboarding,Angehoeriger-Erfassung im Onboarding,"Erfassung von Personalien, Aufenthaltsstatus (A-N), Quellensteuer-Daten, Partnerangaben (konditionell bei Heirat/QST), Kinder und Zulagen, Anstellungsdaten (Stundenlohn, IBAN), Pflichtdokumente (ID, Krankenkassenkarte etc.).",Implementiert,,
FR-ONB-04,FR,1,Onboarding,Patienten-Erfassung im Onboarding,"Erfassung in 9 Tabs: Personalien, Soziales & Steuer, Anamnese (Sturz/Stimmung/Medikation), Aktivitaeten (ATL mit 22 Items), InterRAI, Pflegeplanung, KLV, Workflow, Dokumente (17 Pflicht-/Optional-Dokumente).",Implementiert,,
FR-ONB-05,FR,1,Onboarding,Compliance Hard-Gate Aufenthaltsstatus B,"Aufenthaltsstatus B loest eine Pflicht zur Einreichung der Spezialbewilligung beim Migrationsamt aus. Der Vertragsschritt ist blockiert, bis die Einreichungsbestaetigung hochgeladen ist. Dynamischer Sidebar-Schritt erscheint.",Implementiert,,
FR-ONB-06,FR,1,Onboarding,Compliance Medium-Validation Aufenthaltsstatus G,"Aufenthaltsstatus G (Grenzgaengerbewilligung) erzeugt einen prominenten Hinweis in Warnfarbe mit direkter Upload-Aktion fuer den Ausweis G. Kein Block, aber sichtbarer Handlungsbedarf.",Implementiert,,
FR-ONB-07,FR,1,Onboarding,Compliance Soft-Validation Kinderzulagen,Unterhaltspflichtige Kinder oder Kinderzulagen ueber Spitex erzeugen einen neutral-informativen Hinweis: Familien-/Geburtsurkunde-Upload als Pflichtdokument. Kein Block.,Implementiert,,
FR-ONB-08,FR,1,Onboarding,E-Signatur fuer Vertragsunterzeichnung,"Canvas-basiertes Signatur-Pad fuer 4 Dokumente (Stellenbeschreibung, Arbeitsvertrag, Datenschutzerklaerung, Einwilligungserklaerung). Signatur mit Zeitstempel und Unterzeichner-Name. Arbeitsvertrag ist Hard-Gate fuer Onboarding-Abschluss.",Implementiert,,
FR-ONB-10,FR,X,Onboarding,Arzt-Anfrage-Domain-Objekt und Flow,Ein eigenes Domain-Objekt (ArztAnfrage) bildet den gesamten Arzt-Kontakt-Flow ab: wartet auf Einwilligung → versandbereit → gesendet (mit Tage-Zaehler und Erinnerung) → Antwort erhalten → Diagnosen extrahiert.,Implementiert,,
FR-ONB-11,FR,2,Onboarding,Editierbare Arzt-Anfrage-E-Mail,"Die vorbereitete E-Mail an den Arzt hat editierbaren Betreff und Nachrichtentext (vorbefuellt aus Vorlage mit aufgeloesten Platzhaltern). Fixe Teile (Anhang-Hinweis, Absender-Signatur) sind sichtbar aber nicht editierbar. Zuruecksetzen auf Vorlage moeglich.",Implementiert,,
FR-ONB-12,FR,2,Onboarding,Anna-Extraktion aerztlicher Diagnosen,Nach simulierter Arzt-Antwort extrahiert Anna Diagnosen aus dem Anhang und legt sie als Entwuerfe (Status: Vorschlag) zur manuellen Pruefung vor. Keine Auto-Uebernahme — Vier-Augen-Prinzip.,Implementiert,,
FR-ONB-13,FR,1,Onboarding,Aerztliche Diagnosen als eigenes Artefakt,"Aerztliche Diagnosen (ICD-Codes) existieren als eigenstaendiges Artefakt am Vorgang mit Lead-Conversion-IDs (onboardingId + patientId). Felder: ICD-Code, Bezeichnung, Quelle (Arzt-Antwort oder Manuell erfasst), Status (Entwurf/Bestaetigt).",Implementiert,,
FR-ONB-14,FR,2,Onboarding,Zweistufige Darstellung aerztlicher Diagnosen,"Aerztliche Diagnosen in der Pflegeplanung: Entwuerfe als kompakte Zeilen mit Ocker-Akzent und Vorschlag-Pill (Bestaetigen/Verwerfen), Bestaetigte als stille einzeilige Referenz. Manuelle Erfassung als gleichwertiger Zubringer.",Implementiert,,
FR-ONB-15,FR,2,Onboarding,ICD-Referenz-Kette,"Pflegediagnosen tragen ein icdIds-Feld, das auf aerztliche Diagnosen verweist. Die Begruendungskette lautet: KLV-Leistung → Pflegediagnose (diagnoseIds) → Aerztliche Diagnose (icdIds). Kein direktes KLV→ICD-Mapping.",Implementiert,,
FR-ONB-16,FR,2,Onboarding,KLV-Tab zeigt aerztliche Diagnosen aus Artefakt,Der KLV-Tab zeigt im Diagnosen-Kopfbereich die bestaetigten aerztlichen Diagnosen aus dem geteilten Artefakt (MOCK_ARZT_DIAGNOSEN). Keine Kopie — Pflegeplanung und KLV lesen dasselbe Objekt.,Implementiert,,
FR-ONB-17,FR,2,Onboarding,Automatische Workflow-Schritt-Ableitung,Die Schritte 'Arzt kontaktiert' und 'Diagnose & Mediliste erhalten' leiten ihren Erledigt-Status automatisch vom ArztAnfrage-Objekt ab. Read-only Checkboxen mit Automatisch-Provenienz und Datum.,Implementiert,,
FR-ONB-18,FR,1,Onboarding,Onboarding-Konvertierung,"Die Konvertierung erzeugt aus einem Onboarding-Vorgang aktive Patienten- und Angehoerigen-Datensaetze. Klinische Artefakte (InterRAI, Pflegeplanung, KLV, Workflows) erhalten die neue patientId.",Teilweise,src/lib/onboarding/konvertierung.ts,Setzt patientId auf Artefakte; vollstaendige Konvertierungslogik ist Stub
FR-ONB-19,FR,1,Onboarding,Abschluss-Sperre mit dokumentiertem Override,Fehlende Pflichtdokumente blockieren den Abschluss nicht absolut. Ein Override-Dialog listet fehlende Dokumente namentlich und erzwingt eine Pflicht-Begruendung. Arbeitsvertrag bleibt harte Sperre (kein Override).,Implementiert,,
FR-ONB-20,FR,1,Onboarding,Vorgangs-Status-Header mit Aggregat-Pills,"Der Onboarding-Header zeigt einen deterministischen Status (Entwurf / In Bearbeitung / Bereit zum Abschluss) und klickbare Pills: 'X von Y Schritten' (→ Workflow-Tab), 'N Dokumente offen' (→ Dokumente-Tab, Ocker nur als letzter Blocker).",Implementiert,,
FR-ONB-21,FR,2,Onboarding,Anna-Hinweis-Zeile im Header,"Priorisierte Hinweis-Zeile: 1) Arzt-Antwort erhalten → Sprung zur Pflegeplanung, 2) Anfrage versandbereit → Sprung, 3) unbestaetigte Vorschlaege. Kollabiert beim Scrollen mit. Keine Anzeige wenn kein Handlungsbedarf.",Implementiert,,
FR-ONB-22,FR,2,Onboarding,Aufnahme-Button in der Tab-Zeile,"Der Gespraechs-Aufnahme-Button sitzt rechtsbuendig in der Tab-Zeile des Patient-Schritts. Drei Zustaende: bereit (Anna-Gradient), aktiv (Puls-Dot + 'Stoppen'), busy (deaktiviert). Tabs scrollen, Button bleibt fix.",Implementiert,,
NFR-ONB-01,NFR,2,Onboarding,Explizite Versand-Bestaetigung,Der Arzt-Anfrage-Versand erfordert eine explizite Bestaetigung mit sichtbarem Empfaenger. Kein Auto-Versand an moeglicherweise veralteten Arzt-Kontakt (Datenschutzrisiko). Als Code-Kommentar dokumentiert.,Implementiert,,
NFR-ONB-02,NFR,2,Onboarding,Erweiterbare Schritt-Ableitungen,"Workflow-Schritt-Ableitungen (SCHRITT_ABLEITUNGEN) sind als Array-Struktur definiert. Neues Binding = neues Objekt mit schrittLabel, istErledigt-Funktion und Provenienz-Funktion. Keine Logik-Aenderung noetig.",Implementiert,,
NFR-ONB-03,NFR,2,Onboarding,Gemeinsame Abschluss-Ableitung,"Eine einzige abschlussPruefung-Funktion liefert arbeitsvertragOk, fehlendePflichtdokumente und vollstaendig. Header-Status, Footer-Sperre und Abschluss-Dialog nutzen dieselbe Ableitung.",Implementiert,,
NFR-ONB-04,NFR,2,Onboarding,Drei Compliance-Schaerfegrade,"Compliance-Gates in drei Stufen: Hard Gate (blockiert Vertrag, z.B. Ausweis B), Medium Validation (prominenter Hinweis mit Aktion, z.B. Ausweis G), Soft Validation (informativ, z.B. Kinderzulagen).",Implementiert,,
FR-PAT-01,FR,1,Patienten,Patientenliste mit Filtern,"Patienten werden in einer Tabelle mit Ansichten (Alle, Meine, Aufmerksamkeit) dargestellt. Pro Zeile: Name, Schweregrad-Pill, Status, zugeteilte Pflegefachkraft, naechste Aufgabe. Suche und Sortierung.",Implementiert,,
FR-PAT-02,FR,1,Patienten,360-Grad-Patientenprofil,"Patientendetailseite mit 7 Tabs: Ueberblick (Stammdaten, Anna-Summary), Anamnese, Pflegeplanung (NANDA), KLV (Leistungen), Dokumente, Workflow/Prozess, Aktivitaeten (ATL).",Implementiert,,
FR-PAT-03,FR,1,Patienten,Patientenstatus-Aenderung,"Der Patientenstatus (Aktiv, Pausiert, Beendet) kann ueber ein Modal mit Bestaetigungsdialog geaendert werden. Status-Aenderung aktualisiert die Anzeige in Liste und Detail.",Implementiert,,
FR-PAT-04,FR,3,Patienten,Anna-Patienten-Zusammenfassung,"Anna generiert im Ueberblick-Tab eine strukturierte Zusammenfassung aus Stammdaten: Alter, Schweregrad, Pflegestufe, zustaendige Pflegekraft, offene Aufgaben, aktuelle Diagnosen.",Implementiert,,
FR-PAT-05,FR,1,Patienten,Maskierung sensibler Felder,"AHV-Nummer, IBAN und weitere Identifikationsnummern werden standardmaessig maskiert (z.B. 756.****.****.XX). Ein Aufdeck-Icon ermoeglicht das bewusste Einblenden. Aufdeckungen sind prinzipiell auditierbar.",Implementiert,,
FR-PAT-06,FR,1,Patienten,Dokumente-Tab mit Ordnerstruktur,"Der Dokumente-Tab zeigt eine SharePoint-analoge Ordnerstruktur (8 Kategorien). Pro Dokument: Upload (Datei/Kamera), Vorschau, Loeschen. Fortschrittsanzeige fuer Pflichtdokumente.",Implementiert,,
FR-ANG-01,FR,1,Angehoerige,Angehoerigen-Uebersichtsliste,"Angehoerige in einer Tabelle mit 5 Ansichten: Alle, Meine, Aufmerksamkeit, SRK offen, Im Onboarding. Pro Zeile: Name, HR-Status-Checks, SRK-Fortschritt, Stempel-Warnungen, zugeteilte Patienten.",Implementiert,,
FR-ANG-02,FR,1,Angehoerige,360-Grad-Angehoerigenprofil,"Detailseite mit Tabs: Ueberblick (Stammdaten, HR-Checks), Personalien/HR (Anstellung, Quellensteuer), Familie/Steuern (Partner, Kinder, Zulagen), Bankverbindung (IBAN, maskiert), Dokumente, Monatsschritte.",Implementiert,,
FR-ANG-03,FR,1,Angehoerige,HR-Check-Anzeige,"HR-Pruefungen (SRK-Kursstatus, Quellensteuer-Anmeldung, Aufenthaltsstatus-Dokument) werden als farbige Status-Indikatoren angezeigt: gruen (erledigt), gelb (ausstehend), rot (ueberfaellig).",Implementiert,,
FR-ANG-04,FR,1,Angehoerige,SRK-Stempel-Warnungen,Bei fehlendem SRK-Pflegekurs innerhalb eines Jahres nach Vertragsunterzeichnung werden Leistungen pausiert. Die Warnung zeigt Restfrist und betroffene Patienten.,Implementiert,,
FR-ANG-06,FR,1,Angehoerige,Maskierung sensibler Angehoerigen-Felder,"AHV-Nummer, ZEMIS-Nummer und IBAN werden maskiert dargestellt. Aufdeckung ueber bewussten Klick auf das Augen-Icon.",Implementiert,,
FR-ZUT-01,FR,2,Zuteilung,Matching-Algorithmus fuer Pflegefachkraft-Zuteilung,"Gewichtetes Matching: Sprache (40%), fachliche Skills (25%), Region/Entfernung (20%), verfuegbare Kapazitaet (15%). Berechnet einen Prozent-Score pro Kandidatin.",Implementiert,,
FR-ZUT-02,FR,2,Zuteilung,Top-3-Match-Darstellung,"Die drei besten Matches werden mit Gesamt-Score, Kriterien-Aufschluesselung (Balken pro Dimension) und Kontaktdaten angezeigt. Zuteilung per Klick bestaetigbar.",Implementiert,,
FR-ZUT-03,FR,2,Zuteilung,Pflegefachkraft-Sidebar in der Patientenliste,Eine Slide-over-Sidebar oeffnet sich direkt aus der Patientenliste und zeigt Matching-Vorschlaege fuer den ausgewaehlten Patienten. Zuteilung ohne Seitenwechsel.,Implementiert,,
FR-PEN-01,FR,1,Pendenzen,Unified-Pendenzen-Ansicht,Workflow-Aufgaben (automatisch erzeugt) und Service-Tickets (manuell erstellt) werden in einer gemeinsamen Ansicht kombiniert. Einheitliche Darstellung mit Typ-Icons und Faelligkeitsfarben.,Implementiert,,
FR-PEN-02,FR,1,Pendenzen,Faelligkeits-Buckets,"Pendenzen werden nach Dringlichkeit gruppiert: Ueberfaellig (rot), Heute (Warnung), Diese Woche (neutral), Spaeter (gedaempft). Zaehler pro Bucket.",Implementiert,,
FR-PEN-03,FR,2,Pendenzen,15 Pendenz-Typen mit Anna-Konfiguration,"Jeder der 15 Typen (SRK-Anmeldung, Re-Assessment, Ausweis B etc.) hat eine eigene Anna-Konfiguration: kontextuelle Erklaerung, spezifische Aktions-Buttons, Prioritaets-Einordnung.",Implementiert,,
FR-PEN-04,FR,2,Pendenzen,Anna-Vorschlaege pro Pendenz,"Anna zeigt pro geoeffneter Pendenz einen Vorschlags-Panel mit kontextueller Info und Aktions-Buttons: URL oeffnen, Daten kopieren, Dokument herunterladen, E-Mail oeffnen, Demo-Mock ausfuehren.",Implementiert,,
FR-PEN-06,FR,2,Pendenzen,Management-Uebersicht,"Standalone-Sektion fuer Management-Rolle: KPI-Aggregate (offene/ueberfaellige Pendenzen), Mitarbeiter-Auslastung (Top-5 nach Pendenzlast), kritische Faelle mit Handlungsbedarf.",Implementiert,,
FR-SON-01,FR,X,Sonstiges,App-Shell mit Navigation,"Responsive App-Shell: Desktop-Sidebar (56px Icon-Leiste mit Tooltips und Badges), Mobile-Drawer, Topbar (Suche, Benachrichtigungen, User-Menue), GlobalRecordingBar, Anna-Float-Button.",Implementiert,,
FR-SON-03,FR,1,Sonstiges,Globale Suche,"Suchfeld in der Topbar mit sofortiger Ergebnisanzeige. Sucht ueber Patienten, Angehoerige und Pendenzen. Ergebnisse als klickbare Eintraege mit Typ-Icon.",Implementiert,,Suchlogik ist pattern-matching-basiert (Mock)
FR-SON-04,FR,2,Sonstiges,Anna-Sidebar,"Anna als AI-Assistentin in einer rechten Sidebar (420px Desktop, Vollbild Mobile). Chat-Interface mit Kontext-Erkennung, Quick-Replies, Nachrichten-Verlauf und Session-Cache.",Implementiert,,
FR-SON-05,FR,2,Sonstiges,Anna-Engine,"Pattern-Matching-basierte Engine mit processQuery(), generateDailySummary() und generateFollowUpChips(). Antworten als AnnaMessage/AnnaCard-Typen mit strukturierten Daten.",Implementiert,,Kein echtes LLM; Mock-basiert
FR-SON-06,FR,2,Sonstiges,Kontext-Erkennung pro Route,"detectContext() erkennt 9 Kontext-Typen anhand der aktuellen Route. Jeder Kontext hat eigene Begruessungen, Quick-Replies und Zusammenfassungs-Strategien.",Implementiert,,
FR-SON-07,FR,1,Sonstiges,Design-System Formular-Primitiven,"Eigene Formular-Komponenten: TextInput, TextareaInput, NumberInput, Select, Combobox, DatePicker, AHVNummerInput (mit Formatierung), IBANInput (CH-Validierung), SegmentedControl, DocumentUploader, SignaturModal.",Implementiert,,
FR-SON-08,FR,1,Sonstiges,Design-System Showcase,"Interne Demo-Seite unter /showcase/forms mit allen Komponenten-Varianten: Buttons, Cards, Farben, Formulare, Modals, Spacing, Status-Chips, Tabellen, Tabs, Typografie.",Implementiert,,
FR-SON-09,FR,1,Sonstiges,Styleguide-Dokumentation,"Verbindlicher Styleguide (styleguide.md) dokumentiert alle UI-Muster: ReviewBlock (8.10), TabHeader (8.11), SectionAccordion (8.12), ItemRow (8.13), SidebarNav (8.14), Aktions-Ebenen, Provenienz/Status.",Implementiert,styleguide.md,
FR-SON-10,FR,1,Sonstiges,Detail-Navigation,Detailseiten bieten einen Zurueck-Button und Prev/Next-Navigation zum Blaettern durch Listen. Tastatur-Unterstuetzung mit Pfeiltasten (↑↓).,Implementiert,,
NFR-SON-03,NFR,1,Sonstiges,Rollen-basierte Sichtbarkeit,"Drei Benutzerrollen (Diplomierte Pflegefachperson, Backoffice, Management) mit rollen-spezifischem Dashboard-Inhalt und Demo-Rollen-Switcher in der Topbar.",Implementiert,,Rollenbasierte Sichtbarkeit nur auf Dashboard-Ebene; kein durchgaengiges RBAC-Middleware
FR-MAIL-01,FR,2,Sonstiges,E-Mail-Versand an Aerzte,Versand vorbereiteter E-Mails an behandelnde Aerzte mit Anhang (signierte Einwilligung). Editierbarer Betreff und Text. Empfaenger-Pruefung vor Versand.,Nicht implementiert,,Aktuell nur lokaler State-Wechsel im ArztAnfrage-Objekt; kein SMTP/Mailservice
FR-MAIL-02,FR,2,Sonstiges,E-Mail-Empfang und Posteingang,"Empfang und Anzeige eingehender E-Mails (z.B. Arzt-Antwort mit Diagnoseliste als Anhang). Posteingang mit Zuordnung zum Vorgang, Anhang-Extraktion.",Nicht implementiert,,Arzt-Antwort wird ueber Demo-Button simuliert; kein Mailserver-Anbindung
FR-MAIL-03,FR,2,Sonstiges,Erinnerungs-E-Mails,Automatischer oder manueller Versand von Erinnerungs-E-Mails bei ueberfaelligen Arzt-Anfragen (ab konfigurierbarem Schwellwert).,Nicht implementiert,,Button 'Erinnerung senden' existiert; aendert nur lokales Datum
FR-DMS-01,FR,1,Sonstiges,Cloud-Speicher-Integration (SharePoint/GDrive),Anbindung an SharePoint oder Google Drive fuer persistente Dokumentenablage. Automatische Ordner-Generierung pro Patient/Angehoeriger gemaess definierter Struktur (8 Kategorien).,Nicht implementiert,,Toast 'Im SharePoint gespeichert' existiert; keine API-Anbindung
FR-DMS-02,FR,1,Sonstiges,Dokument-Scan mit PDF-Konvertierung,"Echte Kamera-Aufnahme ueber Device-API mit anschliessender Konvertierung in PDF. Unterstuetzung fuer Mehrseiten-Scans, automatische Ausrichtung und Komprimierung.",Nicht implementiert,,Kamera-Modal simuliert Foto als Datei-Objekt im Memory; keine echte Kamera-API oder PDF-Konvertierung
FR-DMS-03,FR,2,Sonstiges,PDF-Generierung fuer Formulare,"Generierung druckfaehiger PDFs fuer Leistungsplanungsblatt, Bedarfsmeldeformular (KLV Art. 7) und weitere Formulare direkt aus den erfassten Daten.",Nicht implementiert,,Buttons existieren mit Toast 'Dokument-Generierung folgt'
FR-DMS-04,FR,X,Sonstiges,Dokumenten-Versionierung,"Versionsverwaltung bei Dokumenten-Updates: fruehere Versionen bleiben einsehbar, Aenderungsprotokoll pro Dokument.",Nicht implementiert,,Kein Versionsmanagement implementiert
FR-SIG-01,FR,1,Onboarding,Canvas-basierte In-Person-Signatur mit Dokument-Versiegelung,"In-Person-Unterschrift auf Tablet/Handy via Canvas (Finger oder Stift).  Export der Signatur als Bild (canvas.toDataURL), Einbettung in das signierte PDF, Dokument-Versiegelung (Hash des Dokuments + Signatur-Zeitstempel + Unterzeichner als Signatur-Record), und Persistenz in der Datenbank.",Teilweise,src/app/components/VertragsunterzeichnungPhase.tsx + src/app/components/form/SignaturModal.tsx,Canvas-Pad mit Touch/Stift implementiert; Export + Versiegelung + Persistenz fehlen
FR-SIG-02,FR,1,Onboarding,Vertragsverwaltung und -tracking,"Verwaltung aller zu unterzeichnenden Vertraege pro Mandat: Statusuebersicht (offen/signiert), Archivierung signierter Dokumente mit eingebetteter Signatur. Aktuell existiert die Vertragsunterzeichnung als Wizard-Schritt mit Status-Tracking im lokalen State.",Teilweise,src/app/components/form/VertragsStep.tsx,Wizard-Schritt mit Status implementiert; Persistenz und Archivierung fehlen
FR-AI-01,FR,2,Sonstiges,LLM-Anbindung fuer Anna,"Anbindung von Anna an ein Large Language Model (z.B. Claude, GPT) fuer echte Freitext-Verarbeitung statt Pattern-Matching. Kontextuelles Verstaendnis, flexible Antworten.",Nicht implementiert,,Anna nutzt if/else-Regelwerk; kein API-Call an LLM
FR-AI-02,FR,2,Sonstiges,Speech-to-Text-Transkription,"Echte Spracherkennung (z.B. Whisper, Google Speech-to-Text) fuer das Gespraechs-Recording. Echtzeit-Transkription mit Sprecherzuordnung.",Nicht implementiert,,Recording nutzt scripted Demo-Transkript; keine echte Audio-Verarbeitung
FR-AI-03,FR,2,Sonstiges,Dokumenten-Extraktion (Document AI),"Automatische Extraktion strukturierter Daten aus Arzt-Briefen, Rezepten und Diagnoselisten (OCR + NLP). Ergebnisse als Entwuerfe zur manuellen Pruefung.",Nicht implementiert,,Diagnose-Extraktion aus Arzt-Antwort nutzt Mock-Daten; kein OCR/NLP
