Pfad,Kategorie,Kurzbeschreibung,Zeilen,Referenziert_von,Moduluebergreifend,Enthaelt_Berechnungslogik,Loeschbar_ohne_Ersatz
src/app/components/interrai/Arbeitsbereich.tsx,UI-Komponente,"Haupt-Arbeitsbereich: Progressive Disclosure; TOC; SectionAccordion; InterRAIItemRow; BulkConfirmDialog; ValidierungsModus; Auswertungs-Overlay",1-1362,"src/app/components/interrai/InterRAIDetailPage.tsx; src/app/components/StepPatient.tsx",ja,ja (erfassungsgrad + Section-Status + Scale-Color),nein
src/app/routes.tsx,Route/Seite,"Router: /interrai -> InterRAIListPage; /interrai/:assessmentId -> InterRAIDetailPage",28-29,"Alle Navigationen",ja,nein,nein
src/app/components/AppSidebar.tsx,UI-Komponente,"Sidebar: InterRAI Nav-Item mit ClipboardList-Icon",22,"src/app/components/AppShell.tsx",ja,nein,nein
src/app/components/AppShell.tsx,Route/Seite,"Shell: mappt /interrai auf interrai Nav-Item",38+51,"src/app/routes.tsx",ja,nein,nein
src/app/components/StepPatient.tsx,UI-Komponente,"Onboarding: InterRAI-Tab; importiert Arbeitsbereich + MOCK_ASSESSMENTS + helpers; rendert Arbeitsbereich oder Empty-State",53-56+377+2241-2347,"src/app/components/OnboardingPage.tsx",ja,nein,nein
src/app/components/Patient360Page.tsx,UI-Komponente,"Patient360: InterRAI-Tab; TabInterRAI: Assessment-Liste + Recording CTA + Re-Assessment-Warnung + Pflegeplanung-Referenz",70+86+475+2748-2889,"src/app/routes.tsx",ja,nein,nein
src/app/recording/RecordingContext.tsx,State/Hook,"Recording: erstellt Mock-Assessment aus erkannten Items; pushed in MOCK_ASSESSMENTS; navigiert zu ?tab=interrai",11-13+94+153-291,"src/app/components/GespraechAufnahme.tsx; src/app/recording/GlobalRecordingBar.tsx",ja,ja (erfassungsgrad Zeile 170),nein
src/app/recording/GlobalRecordingBar.tsx,UI-Komponente,"Recording-Ergebnis: zeigt InterRAI itemCount + sektionCount; navigiert zu ?tab=interrai",70+90-102,"src/app/components/AppShell.tsx",ja,nein,nein
src/app/components/GespraechAufnahme.tsx,UI-Komponente,"Gespraech-Aufnahme: sammelt erkannteItems; InterRAI-SummaryCard",57+175+236,"src/app/components/Patient360Page.tsx; src/app/components/StepPatient.tsx",ja,nein,nein
src/lib/onboarding/konvertierung.ts,Hilfsfunktion,"Konvertierung: setzt patientId auf InterRAIAssessment[]; zaehlt konvertierte Assessments",10+24-28+45-62,"src/app/components/OnboardingPage.tsx",ja,nein,nein
src/app/components/PflegeplanungArbeitsbereich.tsx,UI-Komponente,"Pflegeplanung: referenziert interRAIAssessmentId; zeigt 'Aus InterRAI vom ...'",11+46+106,"src/app/routes.tsx",ja,nein,nein
src/app/components/OnboardingPage.tsx,UI-Komponente,"Onboarding: importiert MOCK_ASSESSMENTS; prueft InterRAI bei Konvertierung; zeigt Count im Dialog",42+382+860-902,"src/app/routes.tsx",ja,nein,nein
src/app/components/StrategicDashboard.tsx,UI-Komponente,"Dashboard: importiert MOCK_ASSESSMENTS; zeigt Erstassessment-Count; Re-Assessment-Hinweis",19+56+69,"src/app/routes.tsx",ja,nein,nein
src/app/components/PatientenPage.tsx,UI-Komponente,"Patienten-Liste: Re-Assessment Spalte; reassessmentSoon Highlight",89+444+572,"src/app/routes.tsx",ja,nein,nein
src/app/components/OnboardingPipelineTile.tsx,UI-Komponente,"Pipeline: Assessment/Erstassessment als Phase-1-Schritt",21,"src/app/components/DashboardPage.tsx",ja,nein,nein
src/app/components/TabDokumente.tsx,UI-Komponente,"Dokumente: Erstassessment_Bericht.pdf + InterRai_Assessment.pdf als Demo-Eintraege",86+95,"src/app/components/Patient360Page.tsx",ja,nein,nein
src/app/components/ui/SidebarNav.tsx,UI-Komponente,"Generische Sidebar-Navigation (primaer fuer InterRAI genutzt)",1-42,"src/app/components/interrai/Arbeitsbereich.tsx",nein,nein,nein
src/app/components/ui/SectionAccordion.tsx,UI-Komponente,"Shared Accordion mit SektionBadge (fuer InterRAI-Buchstaben)",1-120,"src/app/components/interrai/Arbeitsbereich.tsx; andere",nein,nein,nein
src/app/components/ui/ItemRow.tsx,UI-Komponente,"Generische ItemRow mit Sub-Code-Marker",1-60,"src/app/components/interrai/Arbeitsbereich.tsx (indirekt)",nein,nein,nein
src/lib/stammdaten/modul-zertifizierung.ts,Hilfsfunktion,"Feature-Flag: interraiCertified: false",11-12,"src/app/components/StepPatient.tsx (Kommentar)",ja,nein,nein
src/lib/rhythmus/vorlage.ts,Datenquelle,"Workflow: Erstassessment (pp_01) + InterRAI erstellt (pp_11) als Prozess-Schritte",95+105,"src/lib/rhythmus/engine.ts",ja,nein,nein
src/app/anna/engine.ts,Hilfsfunktion,"Anna-AI: Pattern-Matching fuer re-assessment Anfragen",171-175,"src/app/anna/AnnaSidebar.tsx",ja,nein,nein
src/app/anna/sidebar-context.ts,State/Hook,"Anna: Re-Assessment Suggestion-Chips + Warnung",184+198+202,"src/app/anna/AnnaSidebar.tsx",ja,nein,nein
src/app/anna/AnnaPatientSummary.tsx,UI-Komponente,"Anna: Re-Assessment ueberfaellig/faellig Warnungen",49-54,"src/app/anna/",ja,nein,nein
src/app/components/ComplianceRisikoSection.tsx,UI-Komponente,"Compliance: Re-Assessments faellig als Risk-Item",16,"src/app/components/StrategicDashboard.tsx",ja,nein,nein
src/lib/klv/spitex-leistungskatalog-2025.ts,Datenquelle,"KLV: Erstassessment (10901); Bedarfsabklaerung in 10903/10904/10905/10907/10913",145-153,"src/app/components/KLVArbeitsbereich.tsx; src/app/recording/RecordingContext.tsx",ja,nein,nein
src/lib/klv/kassenregeln.ts,Hilfsfunktion,"Kassenregeln: Erstassessment max. 60 Min (KPT)",50+56,"src/lib/klv/",ja,nein,nein
src/lib/einwilligung/vorlage.ts,Datenquelle,"Einwilligungs-Vorlage: Pflegebedarfsabklaerung als Zweck",60,"src/app/components/StepPatient.tsx",ja,nein,nein
KLINISCHE_ARTEFAKTE_KONZEPT.md,Sonstiges,"Architektur-Konzept: InterRAI-Assessment; Lead-Konvertierung; Audio-Erfassung",1-229,"Referenzdokument (nicht importiert)",ja,nein,unklar
